Protein Id	Gene Symbol	Description	Group ID	Number of peptides	Collapsed	Parsimony	default~rq_126_sn sum	default~rq_127n_sn sum	default~rq_127c_sn sum	default~rq_128n_sn sum	default~rq_128c_sn sum	default~rq_129n_sn sum	default~rq_129c_sn sum	default~rq_130n_sn sum	default~rq_130c_sn sum	default~rq_131_sn sum	default~rq_131c_sn sum
sp|P35244|RFA3_HUMAN	RPA3	RFA3_HUMAN Replication protein A 14 kDa subunit	4757	35	C	UR	6660.07	3637.07	7784.95	8296.25	4553.47	9641.46	8978.7	18848.5	10055.5	9925.23	8756.09
sp|Q96AG4|LRC59_HUMAN	LRRC59	LRC59_HUMAN Leucine-rich repeat-containing protein 59	4758	121	C	UR	21533.2	22984.7	42752.9	31734.8	27706.4	26575	23243.9	26206.2	23103.1	22299.8	28774.6
sp|Q9UI14|PRAF1_HUMAN	RABAC1	PRAF1_HUMAN Prenylated Rab acceptor protein 1	4759	10	C	UR	2331.68	2294.88	5288.44	2878.34	3789.01	928.548	1292.83	1055.49	1104	1786.11	1584.93
sp|Q9BU68|PR15L_HUMAN	PRR15L	PR15L_HUMAN Proline-rich protein 15-like protein	4760	6	C	UR	590.238	335.738	564.436	1356.13	1125.01	133.428	109.718	61.3766	62.2074	327.707	215.685
sp|Q04760|LGUL_HUMAN	GLO1	LGUL_HUMAN Lactoylglutathione lyase	4761	60	C	UR	3215.13	10501.4	13533.2	7965.83	7208.77	14130	12382.2	20458.6	20040.4	9870.18	10999.9
sp|O60927|PP1RB_HUMAN	PPP1R11	PP1RB_HUMAN Protein phosphatase 1 regulatory subunit 11	4762	21	C	UR	1892.47	3118.31	2361.8	2556.76	2455.69	2596.53	2537.59	3535.75	2939.48	2311.07	3011.1
sp|Q6VEQ5|WASH2_HUMAN	WASH2P	WASH2_HUMAN WAS protein family homolog 2	4763	27	C	UR	4234.53	4276.51	3775	5444.82	5352.49	5415.22	3615.73	4954.71	6521.51	4603.83	4900.47
sp|Q9NQA3|WASH6_HUMAN	WASH6P	WASH6_HUMAN WAS protein family homolog 6	4763	3	C	UR	105.987	108.525	14.356	155.338	93.4137	145.35	16.8064	133	104.428	88.5768	85.9621
sp|P54687-5|BCAT1_HUMAN	BCAT1	BCAT1_HUMAN Isoform 5 of Branched-chain-amino-acid aminotransferase, cytosolic	4764	23	C	UR	933.356	694.59	709.063	911.681	780.454	7244.97	3963.36	12507	2720.55	3566.56	2962.71
sp|P98171-2|RHG04_HUMAN	ARHGAP4	RHG04_HUMAN Isoform 2 of Rho GTPase-activating protein 4	4765	26	C	UR	603.421	598.005	11133.4	12132.9	1334.88	1382.58	613.176	5758.33	651.636	980.672	552.566
sp|O43306|ADCY6_HUMAN	ADCY6	ADCY6_HUMAN Adenylate cyclase type 6	4766	35	C	UR	7532.98	6835.5	5288.18	5507.53	9748.18	2495.37	2532.24	2529.04	5878.27	2194.58	2247.21
sp|Q9H845|ACAD9_HUMAN	ACAD9	ACAD9_HUMAN Acyl-CoA dehydrogenase family member 9, mitochondrial	4767	133	C	UR	46095.4	10772.9	34624.9	14939.9	20962	20741.6	24392.4	15761.3	15439.9	21847	20964.6
sp|P46779-3|RL28_HUMAN	RPL28	RL28_HUMAN Isoform 3 of 60S ribosomal protein L28	4768	43	C	UR	8338.98	7333.44	6268.82	8451.62	6870.78	6973.01	9786.85	9895.45	6741.86	10881	9555.51
sp|Q06710|PAX8_HUMAN	PAX8	PAX8_HUMAN Paired box protein Pax-8	4769	35	C	UR	906.92	597.835	755.331	787.508	1282.33	6501	19459	2757.54	7291.46	862.43	977.3
sp|P55771|PAX9_HUMAN	PAX9	PAX9_HUMAN Paired box protein Pax-9	4769	2	C	UR	254.006	244.007	733.891	296.286	419.823	174.092	160.231	274.812	140.001	266.188	245.334
sp|Q96QD9|UIF_HUMAN	FYTTD1	UIF_HUMAN UAP56-interacting factor	4770	33	C	UR	9814.79	5218.83	7288.69	3957.4	4913.71	2628.03	7022.61	5147.88	5583.27	5459.82	5522.67
sp|Q96AZ6|ISG20_HUMAN	ISG20	ISG20_HUMAN Interferon-stimulated gene 20 kDa protein	4771	6	C	UR	2057.37	1758.06	1179.79	4803.57	1540.34	976.861	721.502	924.136	486.195	2084.46	1521.17
sp|O14874|BCKD_HUMAN	BCKDK	BCKD_HUMAN [3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	4772	46	C	UR	10274.2	8995.4	6123.6	6384.75	7169.93	4344.29	3617.19	5337.48	5396.34	5256.62	4857.33
sp|Q9H553|ALG2_HUMAN	ALG2	ALG2_HUMAN Alpha-1,3/1,6-mannosyltransferase ALG2	4773	49	C	UR	18780.3	18436.5	7435.49	7386.5	5767.24	6136.65	4439.38	5380.56	6473.3	8120.79	8129.3
sp|Q9H2P0|ADNP_HUMAN	ADNP	ADNP_HUMAN Activity-dependent neuroprotector homeobox protein	4774	173	C	UR	22399.3	35482.6	31948.7	33678.6	29109.5	33125.9	43955.9	35517.9	27796.4	40085.9	42443.5
sp|P40306|PSB10_HUMAN	PSMB10	PSB10_HUMAN Proteasome subunit beta type-10	4775	20	C	UR	1457.51	9804.12	1277.57	3105.42	1243.62	3262.05	1438.42	986.596	3212.01	3697.21	3701.55
sp|O75534|CSDE1_HUMAN	CSDE1	CSDE1_HUMAN Cold shock domain-containing protein E1	4776	200	C	UR	26878.2	28621.7	17542	26889.5	27345	43381.6	39164.3	57117.4	46485.4	38851.2	39591.2
sp|Q86XX4-2|FRAS1_HUMAN	FRAS1	FRAS1_HUMAN Isoform 2 of Extracellular matrix protein FRAS1	4777	3	C	UR	99.3648	99.9817	74.9892	121.807	110.157	117.264	448.384	138.848	482.912	182.125	170.848
sp|Q8WXE9-3|STON2_HUMAN	STON2	STON2_HUMAN Isoform 2 of Stonin-2	4778	14	C	UR	1538.77	2124.47	584.572	1183.53	1219.53	1813.12	5825.38	700.445	1050.74	990.631	1033.83
sp|Q9UJY5|GGA1_HUMAN	GGA1	GGA1_HUMAN ADP-ribosylation factor-binding protein GGA1	4779	63	C	UR	12621.1	12090.1	8121.81	10875.5	15839.4	3639.56	6513.58	4204.95	6198.47	6808.06	7487.19
sp|Q9NZ52|GGA3_HUMAN	GGA3	GGA3_HUMAN ADP-ribosylation factor-binding protein GGA3	4779	30	C	UR	5149.74	4475.43	5213.78	11152.5	3965.37	4493.12	4414.2	5578.4	5595.09	5468.53	5398
sp|Q9UJY4|GGA2_HUMAN	GGA2	GGA2_HUMAN ADP-ribosylation factor-binding protein GGA2	4779	49	C	UR	5031.09	8956.25	5239.5	12234.6	5098.7	6731.05	5949.1	4128.37	7114.06	4755.29	5047.38
sp|Q6P531|GGT6_HUMAN	GGT6	GGT6_HUMAN Gamma-glutamyltransferase 6	4780	4	C	UR	944.795	660.722	363.009	250.448	114.04	60.9308	57.5316	55.91	52.56	76.7403	67.7874
sp|Q9Y276|BCS1_HUMAN	BCS1L	BCS1_HUMAN Mitochondrial chaperone BCS1	4781	66	C	UR	14313.1	18489.5	10339.1	8623.83	8061.23	10298.2	7387.74	7453.81	4812.5	10477.6	8591.23
sp|Q8IZN3|ZDH14_HUMAN	ZDHHC14	ZDH14_HUMAN Probable palmitoyltransferase ZDHHC14	4782	3	C	UR	288.858	342.044	226.836	164.737	116.512	292.476	80.2283	175.475	136.747	212.599	187.389
sp|P54198|HIRA_HUMAN	HIRA	HIRA_HUMAN Protein HIRA	4783	27	C	UR	6344.71	3795.45	2701.77	4862.46	4307.5	2857.58	4529.64	2791.22	3835.9	4326.06	4095.58
sp|O15446-2|RPA34_HUMAN	CD3EAP	RPA34_HUMAN Isoform 2 of DNA-directed RNA polymerase I subunit RPA34	4784	104	C	UR	10444.5	14243.6	11558.4	11862.6	10075	19662.1	19011.6	17129.1	16463.8	20639.5	22670
sp|Q9NXF7|DCA16_HUMAN	DCAF16	DCA16_HUMAN DDB1- and CUL4-associated factor 16	4785	10	C	UR	738.084	607.991	1537.4	1020.13	1197.53	2476.12	4200.79	5237.96	3228.55	2823.86	3192.75
sp|P26651|TTP_HUMAN	ZFP36	TTP_HUMAN Tristetraprolin	4786	1	C	UR	14.5197	25.8112	23.4854	38.7426	31.9218	33.9865	32.9812	27.3747	26.4308	13.273	22.5319
sp|Q96RU7|TRIB3_HUMAN	TRIB3	TRIB3_HUMAN Tribbles homolog 3	4787	3	C	UR	375.954	268.874	196.876	132.681	148.411	94.5826	113.102	76.0149	79.0229	125.207	121.25
sp|O75354|ENTP6_HUMAN	ENTPD6	ENTP6_HUMAN Ectonucleoside triphosphate diphosphohydrolase 6	4788	14	C	UR	1235.31	1595.91	2642.27	3785.98	5227.16	994.303	3076.51	1912.55	1267.17	3232.86	2772.36
sp|Q9Y253|POLH_HUMAN	POLH	POLH_HUMAN DNA polymerase eta	4789	5	C	UR	212.914	339.805	223.492	300.122	480.602	919.135	454.087	898.749	809.602	623.643	635.755
sp|O95167|NDUA3_HUMAN	NDUFA3	NDUA3_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	4790	24	C	UR	5299.31	2255.6	3543.15	2438.33	2716.5	1284.58	4679.91	2038.92	2377.27	3096.8	3531.12
sp|Q9H7C4|SYNCI_HUMAN	SYNC	SYNCI_HUMAN Syncoilin	4791	3	C	UR	90.736	95.9292	102.612	100.64	99.2596	206.028	164.231	158.71	495.145	443.198	473.255
sp|Q5SXH7|PKHS1_HUMAN	PLEKHS1	PKHS1_HUMAN Pleckstrin homology domain-containing family S member 1	4792	13	C	UR	976.188	288.977	1279.49	7156.87	6489.44	623.86	719.666	298.512	290.049	503.838	540.624
sp|Q6P1L5|F117B_HUMAN	FAM117B	F117B_HUMAN Protein FAM117B	4793	10	C	UR	1257.22	1186.13	2670.6	785.132	1039.83	1237.88	5221.24	1086.53	2872.57	982.953	1145.21
sp|Q86VQ1|GLCI1_HUMAN	GLCCI1	GLCI1_HUMAN Glucocorticoid-induced transcript 1 protein	4793	4	C	UR	234.138	1721.07	538.633	1021.34	2264.13	628.972	756.311	819.317	1081.29	1165.05	1384.26
sp|O15062|ZBTB5_HUMAN	ZBTB5	ZBTB5_HUMAN Zinc finger and BTB domain-containing protein 5	4794	1	C	UR	89.8141	12.003	255.783	143.389	142.6	119.187	286.292	83.1119	164.726	105.999	120.907
sp|Q8IUH4|ZDH13_HUMAN	ZDHHC13	ZDH13_HUMAN Palmitoyltransferase ZDHHC13	4795	21	C	UR	2160.1	6530.86	2230.7	11606.9	5215.13	2739.76	7497.92	1937.35	4081.59	4689.32	4737.09
sp|Q8IUH5|ZDH17_HUMAN	ZDHHC17	ZDH17_HUMAN Palmitoyltransferase ZDHHC17	4795	9	C	UR	846.641	1731.96	1163.27	1873.42	1410.77	1270.11	1681.63	994.992	1817.54	1808.51	1892.68
sp|O75192|PX11A_HUMAN	PEX11A	PX11A_HUMAN Peroxisomal membrane protein 11A	4796	6	C	UR	3008.48	492.283	3953.43	1378.79	1530.63	313.263	335.394	324.329	299.57	1066.36	901.642
sp|Q9BXB5|OSB10_HUMAN	OSBPL10	OSB10_HUMAN Oxysterol-binding protein-related protein 10	4797	34	C	UR	2535.28	8103.3	3460.71	4794.32	5249.04	8569.43	14844.1	5412.97	6266.39	6350.21	6408.12
sp|Q96SU4|OSBL9_HUMAN	OSBPL9	OSBL9_HUMAN Oxysterol-binding protein-related protein 9	4797	55	C	UR	5003.82	7519.82	6495.54	5229.64	7217.53	8820.67	10504.5	11623.6	8665.18	8853.53	10705.4
sp|Q96SU4-2|OSBL9_HUMAN	OSBPL9	OSBL9_HUMAN Isoform 2 of Oxysterol-binding protein-related protein 9	4797	4	C	UR	74.9351	220.388	296.256	274.212	228.53	601.075	647.413	1053.95	230.611	569.648	414.803
sp|Q9BXB4|OSB11_HUMAN	OSBPL11	OSB11_HUMAN Oxysterol-binding protein-related protein 11	4797	41	C	UR	4229.44	2647.42	5681.34	3253.45	4849.21	6804.36	11002.2	11072.1	8073.66	6578.91	7164.39
sp|Q9UKD1|GMEB2_HUMAN	GMEB2	GMEB2_HUMAN Glucocorticoid modulatory element-binding protein 2	4799	28	C	UR	3562.11	3097.26	3610.78	3342.07	3113.73	4258.97	4958.86	3455.34	4519.98	4005.11	4212.76
sp|Q9Y692|GMEB1_HUMAN	GMEB1	GMEB1_HUMAN Glucocorticoid modulatory element-binding protein 1	4799	19	C	UR	2552.18	2492.41	1954.83	2425.33	2020.78	2293.81	2891.25	2931.18	3586.61	3257.26	3160.8
sp|Q9Y6X9|MORC2_HUMAN	MORC2	MORC2_HUMAN MORC family CW-type zinc finger protein 2	4799	98	C	UR	15857.9	14315.5	20594.1	18609.8	15798.2	16060.2	18657.8	17696.2	18665.1	18034.5	16620.8
sp|Q13905-3|RPGF1_HUMAN	RAPGEF1	RPGF1_HUMAN Isoform 3 of Rap guanine nucleotide exchange factor 1	4800	10	C	UR	761.64	891.169	1799.27	1755.91	1347.84	1708.08	1334.17	1386.42	1869.29	1601.97	1510.4
sp|P09001|RM03_HUMAN	MRPL3	RM03_HUMAN 39S ribosomal protein L3, mitochondrial	4801	61	C	UR	16101.6	14563	16467.8	10477.2	9342.3	12904.1	12656.5	8808.8	9399.39	11895.7	11697.2
sp|Q14118|DAG1_HUMAN	DAG1	DAG1_HUMAN Dystroglycan	4802	87	C	UR	11888.4	9344.02	30283.3	13021.5	29511.9	14858.5	15566.8	14740.8	10601.2	13021.1	14541
sp|O14950|ML12B_HUMAN	MYL12B	ML12B_HUMAN Myosin regulatory light chain 12B	4803	209	C	UR	17554.4	29844.3	16402.6	29400.5	47620.6	28357.3	34335.6	34864.2	56430.6	27225.6	33540.2
sp|P24844|MYL9_HUMAN	MYL9	MYL9_HUMAN Myosin regulatory light polypeptide 9	4803	16	C	UR	326.806	319.27	340.7	280.629	1336.03	386.765	931.816	2279.38	692.763	5107.32	8534.84
sp|P19105|ML12A_HUMAN	MYL12A	ML12A_HUMAN Myosin regulatory light chain 12A	4803	5	C	UR	389.882	413.12	201.292	392.853	626.437	523.581	591.42	446.457	831.333	333.778	380.034
sp|Q8NAX2|CA172_HUMAN	C1orf172	CA172_HUMAN Uncharacterized protein C1orf172	4804	11	C	UR	5082.46	2012.62	3936.8	1623.36	1559.23	271.166	1711.68	204.791	388.542	1669.05	1856.23
sp|Q9UIU6|SIX4_HUMAN	SIX4	SIX4_HUMAN Homeobox protein SIX4	4805	19	C	UR	1144.85	1511.4	2166.93	1641.67	2396.91	2541.77	6249.64	3437.51	1781.76	2512.23	2041.59
sp|Q14CZ0|CP072_HUMAN	C16orf72	CP072_HUMAN UPF0472 protein C16orf72	4806	2	C	UR	178.546	148.337	123.019	141.991	119.143	187.134	157.574	255.324	194.083	143.505	160.202
sp|Q9Y5P4-3|C43BP_HUMAN	COL4A3BP	C43BP_HUMAN Isoform 3 of Collagen type IV alpha-3-binding protein	4807	57	C	UR	9837.65	4478.65	12385.9	6710.22	11986.5	4651.07	11244.5	12336.4	9578.56	6624.96	6527.77
sp|Q13492|PICAL_HUMAN	PICALM	PICAL_HUMAN Phosphatidylinositol-binding clathrin assembly protein	4808	120	C	UR	31133.8	12815.6	18081.4	17819.4	11358.1	23043.4	12533.5	39419	18296.1	25588.7	23971.8
tr|H0YEH1|H0YEH1_HUMAN	PICALM	H0YEH1_HUMAN Phosphatidylinositol-binding clathrin assembly protein (Fragment)	4808	5	C	UR	2465.71	1155.95	1611.67	1602.65	975.774	1628.29	1087.08	3358.65	1279.56	1609.83	1830.38
sp|Q5VTB9|RN220_HUMAN	RNF220	RN220_HUMAN E3 ubiquitin-protein ligase RNF220	4809	8	C	UR	690.247	579.522	654.486	1171.32	901.294	1451.03	1233.97	1263.13	1204.43	988.499	906.678
tr|B4DLZ9|B4DLZ9_HUMAN	RNF220	B4DLZ9_HUMAN E3 ubiquitin-protein ligase RNF220	4809	3	C	UR	60.3992	18.5275	45.3561	93.8824	70.4166	97.1945	85.0913	112.074	74.2058	94.8394	74.5141
sp|Q96I59|SYNM_HUMAN	NARS2	SYNM_HUMAN Probable asparagine--tRNA ligase, mitochondrial	4810	70	C	UR	8470.25	32093.7	20494.2	7028.65	4815.83	16076.3	4753.02	7917.65	5784.05	9067.37	9281.35
sp|O75381|PEX14_HUMAN	PEX14	PEX14_HUMAN Peroxisomal membrane protein PEX14	4811	59	C	UR	12063.7	13108.9	7349.38	8205.31	7181.93	11817.5	14090.1	10296.7	10478	11622.1	10039.3
sp|P15941-2|MUC1_HUMAN	MUC1	MUC1_HUMAN Isoform 2 of Mucin-1	4812	38	C	UR	18521.2	1753.03	3027.57	34943.9	9974.93	7378.82	1205.34	1013.13	985.188	1760.59	2152.12
sp|Q9NR46|SHLB2_HUMAN	SH3GLB2	SHLB2_HUMAN Endophilin-B2	4813	43	C	UR	5011.5	4768.43	4493.71	13466.2	10390.1	4965.64	4617.2	6455.95	12804.5	8333.34	7902.65
sp|Q9Y371-2|SHLB1_HUMAN	SH3GLB1	SHLB1_HUMAN Isoform 2 of Endophilin-B1	4813	34	C	UR	3428.54	4167.97	4178.08	4982.54	6495.88	5062.78	3254.25	9961.39	4764.02	5569.79	6020.27
sp|Q8TF46|DI3L1_HUMAN	DIS3L	DI3L1_HUMAN DIS3-like exonuclease 1	4814	7	C	UR	391.396	418.848	405.674	460.671	310.932	719.25	676.134	1157.38	722.809	643.679	606.509
sp|Q9H0A8|COMD4_HUMAN	COMMD4	COMD4_HUMAN COMM domain-containing protein 4	4815	19	C	UR	2284.54	3543.45	2563.7	5670.69	2066.89	4483.11	3787.61	3579.71	5501.52	4537.87	3985.39
sp|Q9NUE0|ZDH18_HUMAN	ZDHHC18	ZDH18_HUMAN Palmitoyltransferase ZDHHC18	4816	7	C	UR	479.829	523.674	563.359	623.887	629.26	541.15	798.983	1057.37	1189.31	880.367	927.316
sp|O95232|LC7L3_HUMAN	LUC7L3	LC7L3_HUMAN Luc7-like protein 3	4817	81	C	UR	9126.04	9585.62	13576.3	11916.3	12401.3	16094	13975.4	15248.3	9399.75	10576.7	11433
sp|Q5CZC0|FSIP2_HUMAN	FSIP2	FSIP2_HUMAN Fibrous sheath-interacting protein 2	4817	2	C	UR	1459.45	114.433	267.531	195.352	189.853	164.612	154.333	203.778	145.131	393.424	407.738
sp|Q66GS9|CP135_HUMAN	CEP135	CP135_HUMAN Centrosomal protein of 135 kDa	4818	23	C	UR	2249.12	2654.24	1638.04	2440.09	1685.06	3198.4	2778.66	6061.33	5279.44	3144.75	2835.15
sp|O15550|KDM6A_HUMAN	KDM6A	KDM6A_HUMAN Lysine-specific demethylase 6A	4819	36	C	UR	3130.7	6979.16	4994.47	6377.47	7763.49	6967.48	5639.49	4788.83	4980.74	5200.3	5263.05
sp|P50552|VASP_HUMAN	VASP	VASP_HUMAN Vasodilator-stimulated phosphoprotein	4820	108	C	UR	11099.6	13401.2	15708	16084.7	25005.5	8632.57	9380.15	12409.7	14739.8	13485.7	16709.1
sp|P51161-2|FABP6_HUMAN	FABP6	FABP6_HUMAN Isoform 2 of Gastrotropin	4821	4	C	UR	573.234	791.128	390.857	232.273	569.118	93.2847	481.133	330.142	338.237	378.037	367.014
sp|Q9UPM8|AP4E1_HUMAN	AP4E1	AP4E1_HUMAN AP-4 complex subunit epsilon-1	4822	17	C	UR	2098.21	1849.04	1446.72	2049.37	2013.02	1503.32	1497.4	1977.93	1948.75	2803.79	2376.38
sp|Q9H1E3|NUCKS_HUMAN	NUCKS1	NUCKS_HUMAN Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	4823	41	C	UR	7381.49	8811.64	11603.4	8326.16	8425.64	4050.11	10093.7	4092.83	5410.65	6312.74	7311.56
sp|Q9H0R4|HDHD2_HUMAN	HDHD2	HDHD2_HUMAN Haloacid dehalogenase-like hydrolase domain-containing protein 2	4824	17	C	UR	3050.93	3690.61	1929.96	6546.59	2645	2130.51	3851.22	1543.2	4790.12	2395.62	2689.28
sp|Q14123|PDE1C_HUMAN	PDE1C	PDE1C_HUMAN Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C	4825	9	C	UR	157.206	118.014	124.983	143.781	138.094	576.786	198.904	1983.35	2720.98	544.327	794.271
sp|Q86VX2|COMD7_HUMAN	COMMD7	COMD7_HUMAN COMM domain-containing protein 7	4826	18	C	UR	2623.03	3264.62	2221.12	4363.27	1998.41	4963.45	2637.51	2969.24	4361.45	3639.64	3189.83
sp|Q9NP79|VTA1_HUMAN	VTA1	VTA1_HUMAN Vacuolar protein sorting-associated protein VTA1 homolog	4827	44	C	UR	3694.43	6847.08	5764.42	4726.35	4323.91	5015.2	12792.5	6671.28	10484.5	5675.52	5566.51
sp|Q5ST30-4|SYVM_HUMAN	VARS2	SYVM_HUMAN Isoform 4 of Valine--tRNA ligase, mitochondrial	4828	54	C	UR	5252.36	10511.6	12264.3	8523.47	18469.9	5150.15	4314.81	4534.94	4143.31	8602.17	7962.48
sp|Q8N2H3|PYRD2_HUMAN	PYROXD2	PYRD2_HUMAN Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2	4829	31	C	UR	4150.47	7244.45	1910.22	1755.72	26480.5	1348.23	4910.58	1247.02	2319.64	2459.66	2716.53
sp|Q9NP92|RT30_HUMAN	MRPS30	RT30_HUMAN 28S ribosomal protein S30, mitochondrial	4830	86	C	UR	20976.1	16571.2	22342.8	12368.5	11151.7	14209.4	13944.2	8459.8	10065.8	14270	14573.3
sp|P01833|PIGR_HUMAN_contaminant	PIGR	PIGR_HUMAN_contaminant Polymeric immunoglobulin receptor	4831	6	C	UR	10543.1	411.183	933.069	309.159	338.7	199.703	289.321	190.168	295.299	232.004	302.177
sp|Q96CU9|FXRD1_HUMAN	FOXRED1	FXRD1_HUMAN FAD-dependent oxidoreductase domain-containing protein 1	4832	50	C	UR	9453.63	3925.51	11415.1	3292.4	5392.5	5800.34	6503.52	6021.49	5537.49	5856.72	4998.36
sp|P12694|ODBA_HUMAN	BCKDHA	ODBA_HUMAN 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	4833	72	C	UR	15912	18181.1	11769.3	11365.6	12697.9	4391.96	9536.02	5984.14	5203.67	5868.04	6934.03
tr|H0YH31|H0YH31_HUMAN	BCKDHA	H0YH31_HUMAN 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial (Fragment)	4833	6	C	UR	1374.39	1583.14	1134.59	980.643	1052	467.789	826.534	518.678	482.766	478.334	506.331
sp|P49747|COMP_HUMAN	COMP	COMP_HUMAN Cartilage oligomeric matrix protein	4834	2	C	UR	443.271	246.434	746.65	216.786	219.11	564.282	728.563	1076.05	921.849	495.512	412.614
sp|Q14137|BOP1_HUMAN	BOP1	BOP1_HUMAN Ribosome biogenesis protein BOP1	4835	137	C	UR	17377.1	14334.9	13205.9	15949.2	14921.6	27941.4	23935.7	17967.7	16543.1	23909.8	26813.1
sp|O43598|DNPH1_HUMAN	DNPH1	DNPH1_HUMAN 2'-deoxynucleoside 5'-phosphate N-hydrolase 1	4836	39	C	UR	3200.48	5789.42	4278.57	4482.42	6261.31	2533.66	2260.24	2940.12	3339.67	3795.48	3337.72
sp|Q7Z3K3|POGZ_HUMAN	POGZ	POGZ_HUMAN Pogo transposable element with ZNF domain	4837	111	C	UR	13735.9	17247	15726.2	18281.5	22051.5	22900.6	22147.8	17017.2	13723.9	18313.7	16354.2
sp|Q96IU4|ABHEB_HUMAN	ABHD14B	ABHEB_HUMAN Alpha/beta hydrolase domain-containing protein 14B	4838	37	C	UR	5950.7	7890.66	3089.63	4898.44	9173.11	4833.34	3681.54	5705.42	4091.25	3243.5	4635.16
sp|Q96DN6|MBD6_HUMAN	MBD6	MBD6_HUMAN Methyl-CpG-binding domain protein 6	4840	3	C	UR	262.338	350.599	293.596	281.41	260.784	313.502	320.873	181.354	147.552	194.378	193.622
sp|O14521|DHSD_HUMAN	SDHD	DHSD_HUMAN Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial	4841	5	C	UR	1620.47	713.311	740.367	586.534	528.851	767.352	650.43	696.043	746.143	1098.99	937.784
sp|Q8NCE2|MTMRE_HUMAN	MTMR14	MTMRE_HUMAN Myotubularin-related protein 14	4842	11	C	UR	731.475	1203.28	988.095	1262.5	1122.47	962.368	807.927	1326.02	745.242	1224.7	1174.67
sp|P49746|TSP3_HUMAN	THBS3	TSP3_HUMAN Thrombospondin-3	4843	2	C	UR	74.4396	74.493	272.847	97.1052	101.132	1131.22	513.265	1221.33	196.773	167.559	148.883
sp|Q9NVE7|PANK4_HUMAN	PANK4	PANK4_HUMAN Pantothenate kinase 4	4844	57	C	UR	5054.79	13667.9	9961.33	8793.63	13107.7	6993.83	10715.3	12212.1	14783.2	9170.83	9087.75
sp|Q9UNH6-3|SNX7_HUMAN	SNX7	SNX7_HUMAN Isoform 3 of Sorting nexin-7	4845	17	C	UR	1046.95	2272.76	535.48	2456.28	515.759	2918.55	2208.74	4636.74	4233.33	3850.29	3742.78
sp|Q8TB40|ABHD4_HUMAN	ABHD4	ABHD4_HUMAN Abhydrolase domain-containing protein 4	4846	7	C	UR	847.749	612.028	2797.91	679.573	1618.45	591.527	486.208	565.625	617.227	909.732	757.762
sp|P62380|TBPL1_HUMAN	TBPL1	TBPL1_HUMAN TATA box-binding protein-like protein 1	4847	9	C	UR	987.858	789.676	1015.75	1030.66	868.631	1198.92	2434.24	1671.68	2343.76	1942.4	1703.78
sp|P07711|CATL1_HUMAN	CTSL	CATL1_HUMAN Cathepsin L1	4848	11	C	UR	1006.57	499.933	1114.24	672.834	619.729	992.067	696.85	1170.34	1526.72	1968.42	2392.07
sp|O60911|CATL2_HUMAN	CTSV	CATL2_HUMAN Cathepsin L2	4848	9	C	UR	1163.89	670.268	1500.82	1297.31	990.212	1024.74	3054.54	1506.89	2000.6	1910.09	1564.53
sp|Q12834|CDC20_HUMAN	CDC20	CDC20_HUMAN Cell division cycle protein 20 homolog	4849	29	C	UR	919.478	1158.47	1092.07	1460.99	1423.38	6553.84	4494.01	6764.9	9745.1	3474.08	4023.7
sp|O15304|SIVA_HUMAN	SIVA1	SIVA_HUMAN Apoptosis regulatory protein Siva	4850	8	C	UR	577.797	342.796	586.054	1250.59	1919.65	1197.37	915.665	1693.22	1376.66	906.167	698.472
sp|Q96NL6|SCLT1_HUMAN	SCLT1	SCLT1_HUMAN Sodium channel and clathrin linker 1	4851	8	C	UR	286.672	304.101	348.107	390.156	444.875	573.928	578.988	899.029	1173.64	648.783	703.701
sp|Q9BRV8|SIKE1_HUMAN	SIKE1	SIKE1_HUMAN Suppressor of IKBKE 1	4852	15	C	UR	3115.15	3046.94	1711.04	2609.45	3357.09	2193.86	2469.76	2997.38	2466.72	2297.67	2271.72
sp|O14757|CHK1_HUMAN	CHEK1	CHK1_HUMAN Serine/threonine-protein kinase Chk1	4853	19	C	UR	968.624	1414.04	1923.66	2760.37	1670.49	3864.27	4632.33	6089.96	8929.8	4282.12	5845.53
sp|P62906|RL10A_HUMAN	RPL10A	RL10A_HUMAN 60S ribosomal protein L10a	4854	139	C	UR	30848.6	23681.5	21019.1	27383.9	24142	31582.2	38588.3	35221.8	33387.9	28803.1	32405
sp|Q9UET6|TRM7_HUMAN	FTSJ1	TRM7_HUMAN Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase	4855	23	C	UR	1739.46	1857.79	2082.77	2558.48	3963.13	4807.48	4495.22	8776.52	4845.28	4351.88	3753.76
sp|Q9UET6-2|TRM7_HUMAN	FTSJ1	TRM7_HUMAN Isoform 2 of Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase	4855	1	C	UR	34.3642	36.9233	49.0724	42.7003	47.7054	63.7491	70.0205	80.5889	85.8818	69.0957	57.2911
